level,kanji,readings,meanings
N3,束,ソク | たば | たば.ねる | つか | つか.ねる,bundle | sheaf | ream | tie in bundles | govern | manage | control
N3,達,タツ | ダ | ~たち,accomplished | reach | arrive | attain
N3,関,カン | せき | ~ぜき | かか.わる | からくり | かんぬき,connection | barrier | gateway | involve | concerning
N3,得,トク | え.る | う.る,gain | get | find | earn | acquire | can | may | able to | profit | advantage | benefit
N3,議,ギ,deliberation | consultation | debate | consideration
N3,消,ショウ | き.える | け.す,extinguish | blow out | turn off | neutralize | cancel
N3,能,ノウ | よ.く,ability | talent | skill | capacity
N3,情,ジョウ | セイ | なさ.け,feelings | emotion | passion | sympathy | circumstances | facts
N3,活,カツ | い.きる | い.かす | い.ける,lively | resuscitation | being helped | living
N3,命,メイ | ミョウ | いのち,fate | command | decree | destiny | life | appoint
N3,解,カイ | ゲ | と.く | と.かす | と.ける | ほど.く | ほど.ける | わか.る | さと.る,unravel | notes | key | explanation | understanding | untie | undo | solve | answer | cancel | absolve | explain | minute
N3,官,カン,bureaucrat | the government | organ
N3,状,ジョウ,status quo | conditions | circumstances | form | appearance
N3,失,シツ | うしな.う | う.せる,lose | error | fault | disadvantage | loss
N3,打,ダ | ダアス | う.つ | う.ち~ | ぶ.つ,strike | hit | knock | pound | dozen
N3,洗,セン | あら.う,wash | inquire into | probe
N3,格,カク | コウ | キャク | ゴウ,"status | rank | capacity | character | case (law, grammar)"
N3,王,オウ | ~ノウ,king | rule | magnate
N3,苦,ク | くる.しい | ~ぐる.しい | くる.しむ | くる.しめる | にが.い | にが.る,suffering | trial | worry | hardship | feel bitter | scowl
N3,認,ニン | みと.める | したた.める,acknowledge | witness | discern | recognize | appreciate | believe
N3,殺,サツ | サイ | セツ | ころ.す | ~ごろ.し | そ.ぐ,kill | murder | butcher | slice off | split | diminish | reduce | spoil
N3,呼,コ | よ.ぶ,call | call out to | invite
N3,法,ホウ | ハッ | ホッ | フラン | のり,method | law | rule | principle | model | system
N3,望,ボウ | モウ | のぞ.む | もち,ambition | full moon | hope | desire | aspire to | expect
N3,夫,フ | フウ | ブ | おっと | それ,husband | man
N3,商,ショウ | あきな.う,make a deal | selling | dealing in | merchant
N3,喜,キ | よろこ.ぶ | よろこ.ばす,rejoice | take pleasure in
N3,告,コク | つ.げる,revelation | tell | inform | announce
N3,易,エキ | イ | やさ.しい | やす.い,easy | ready to | simple | fortune-telling | divination
N3,信,シン,faith | truth | fidelity | trust
N3,努,ド | つと.める,toil | diligent | as much as possible
N3,煙,エン | けむ.る | けむり | けむ.い,smoke
N3,決,ケツ | き.める | ~ぎ.め | き.まる | さ.く,decide | fix | agree upon | appoint
N3,泳,エイ | およ.ぐ,swim
N3,越,エツ | オツ | こ.す | ~こ.す | ~ご.し | こ.える | ~ご.え,surpass | cross over | move to | exceed | Vietnam
N3,期,キ | ゴ,period | time | date | term
N3,求,キュウ | グ | もと.める,request | want | wish for | require | demand
N3,愛,アイ | いと.しい | かな.しい | め.でる | お.しむ | まな,love | affection | favourite
N3,抜,バツ | ハツ | ハイ | ぬ.く | ~ぬ.く | ぬ.き | ぬ.ける | ぬ.かす | ぬ.かる,slip out | extract | pull out | pilfer | quote | remove | omit
N3,段,ダン | タン,grade | steps | stairs
N3,薬,ヤク | くすり,medicine | chemical | enamel | gunpowder | benefit
N3,散,サン | ち.る | ち.らす | ~ち.らす | ち.らかす | ち.らかる | ち.らばる | ばら | ばら.ける,scatter | disperse | spend | squander
N3,賛,サン | たす.ける | たた.える,approve | praise | title or inscription on picture | assist | agree with
N3,緒,ショ | チョ | お | いとぐち,thong | beginning | inception | end | cord | strap | mental or emotional state
N3,実,ジツ | シツ | み | みの.る | まこと | みの | みち.る,reality | truth
N3,若,ジャク | ニャク | ニャ | わか.い | わか~ | も.しくわ | も.し | も.しくは | ごと.し,young | if | perhaps | possibly | low number | immature
N3,満,マン | バン | み.ちる | み.つ | み.たす,full | fullness | enough | satisfy
N3,務,ム | つと.める,task | duties
N3,職,ショク | ソク,post | employment | work
N3,合,ゴウ | ガッ | カッ | あ.う | ~あ.う | あ.い | あい~ | ~あ.い | ~あい | あ.わす | あ.わせる | ~あ.わせる,fit | suit | join | 0.1
N3,次,ジ | シ | つ.ぐ | つぎ,next | order | sequence
N3,晩,バン,nightfall | night
N3,過,カ | す.ぎる | ~す.ぎる | ~す.ぎ | す.ごす | あやま.つ | あやま.ち | よ.ぎる,overdo | exceed | go beyond | error
N3,迎,ゲイ | むか.える,welcome | meet | greet
